care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,purity,degradation
0.43624037504196167,0.3032870888710022,0.5035547018051147,0.4573465883731842,0.6218130588531494,0.5744989514350891,0.29703766107559204,0.13953125476837158,0.44777876138687134,0.010450499132275581
0.415641725063324,0.31725433468818665,0.5204815864562988,0.3953495919704437,0.6798829436302185,0.5677185654640198,0.25751957297325134,0.14427252113819122,0.37288495898246765,0.006102425046265125
0.478512167930603,0.393635094165802,0.2610103189945221,0.437905490398407,0.42695027589797974,0.40643957257270813,0.36549946665763855,0.13063082098960876,0.340046763420105,0.043340981006622314
0.42209890484809875,0.38710907101631165,0.4698167145252228,0.5257930755615234,0.5527392625808716,0.5153098106384277,0.23025013506412506,0.12773527204990387,0.4634361267089844,0.011864162050187588
0.4153228998184204,0.3492952883243561,0.5808995962142944,0.44622108340263367,0.619314432144165,0.5914824604988098,0.3067788779735565,0.16967201232910156,0.359176903963089,0.007206379435956478
0.43126294016838074,0.3154551386833191,0.5926607251167297,0.4455830156803131,0.6579186916351318,0.5765278935432434,0.29220137000083923,0.1641649305820465,0.43756890296936035,0.006711029913276434
0.4530273675918579,0.33106720447540283,0.5160033702850342,0.3577513098716736,0.6795874238014221,0.707647979259491,0.2813138961791992,0.13989436626434326,0.403379887342453,0.0077009727247059345
0.4551319479942322,0.2992432415485382,0.5358980894088745,0.42504963278770447,0.6756966710090637,0.6520569324493408,0.32592150568962097,0.1646532118320465,0.37115752696990967,0.006325264926999807
0.37992650270462036,0.5098832845687866,0.3847030699253082,0.3421178460121155,0.412268728017807,0.6110695600509644,0.32016363739967346,0.1973961442708969,0.41280797123908997,0.03166164830327034
0.4384278953075409,0.2840711176395416,0.5469849109649658,0.36861035227775574,0.680433988571167,0.5968015789985657,0.28795942664146423,0.1505882740020752,0.3876676857471466,0.007691068109124899
0.38683953881263733,0.4314931035041809,0.5531861782073975,0.4789993166923523,0.5691244602203369,0.5303797721862793,0.27856576442718506,0.17366336286067963,0.42584431171417236,0.009548434987664223
0.4220481812953949,0.3185746371746063,0.5171950459480286,0.3116362392902374,0.6329030394554138,0.5277470350265503,0.31293627619743347,0.14474961161613464,0.33175042271614075,0.009135999716818333
0.37437474727630615,0.2877182066440582,0.3858947455883026,0.23343394696712494,0.5814008712768555,0.42166826128959656,0.26227322220802307,0.12783731520175934,0.28969401121139526,0.015169011428952217
0.4359249472618103,0.29913684725761414,0.4529910683631897,0.24410606920719147,0.655466616153717,0.5922456979751587,0.30431056022644043,0.18831822276115417,0.32369184494018555,0.016914725303649902
0.35206443071365356,0.46503788232803345,0.4729507565498352,0.41237780451774597,0.5678876638412476,0.5370162725448608,0.25534287095069885,0.18334247171878815,0.3070574998855591,0.024671535938978195
0.4381832182407379,0.2701409161090851,0.43224433064460754,0.3164891302585602,0.6654688715934753,0.6239113807678223,0.2975238561630249,0.16940604150295258,0.3327077627182007,0.007211187854409218
0.42433255910873413,0.2729925811290741,0.4868423640727997,0.3630979657173157,0.6280267834663391,0.6190681457519531,0.2702982723712921,0.12258845567703247,0.3522559106349945,0.0067209904082119465
0.45752158761024475,0.399507999420166,0.4952518343925476,0.46959054470062256,0.6320977210998535,0.675366222858429,0.31975820660591125,0.15808546543121338,0.3128349781036377,0.009654611349105835
0.35270318388938904,0.45599043369293213,0.3009834885597229,0.14775000512599945,0.4894349277019501,0.49164754152297974,0.20354220271110535,0.20725376904010773,0.37019479274749756,0.44928422570228577
0.4231799840927124,0.2864619493484497,0.5076944828033447,0.38751789927482605,0.6407028436660767,0.6217503547668457,0.2838892638683319,0.13409008085727692,0.40015116333961487,0.007440822198987007
0.43807071447372437,0.38178950548171997,0.3062343895435333,0.18233796954154968,0.5372827053070068,0.4556972086429596,0.31876295804977417,0.2083991914987564,0.2645271122455597,0.0446968637406826
0.42585426568984985,0.30173441767692566,0.4794865846633911,0.30012500286102295,0.628296971321106,0.6197696924209595,0.2670883536338806,0.15051791071891785,0.40998575091362,0.00926607009023428
0.47450539469718933,0.2995925843715668,0.5144190788269043,0.2996045649051666,0.6412786245346069,0.6493656039237976,0.2707138657569885,0.16143196821212769,0.4104263484477997,0.008373047225177288
0.36428287625312805,0.3309631645679474,0.3141626715660095,0.2928352952003479,0.4598762094974518,0.39901021122932434,0.27534839510917664,0.15526548027992249,0.31895461678504944,0.08186842501163483
0.46987012028694153,0.39504480361938477,0.26494818925857544,0.20104987919330597,0.4383673667907715,0.4467245638370514,0.330341637134552,0.13109517097473145,0.4396810233592987,0.13997098803520203
0.47328102588653564,0.35682055354118347,0.2552441656589508,0.21644693613052368,0.42114824056625366,0.371192067861557,0.3731389343738556,0.18087062239646912,0.4118484556674957,0.18765220046043396
0.34011760354042053,0.448189377784729,0.28227174282073975,0.13602738082408905,0.3193596303462982,0.3003561496734619,0.27319249510765076,0.3341169059276581,0.3435303270816803,0.9241325259208679
0.4313010573387146,0.3216569721698761,0.5569491982460022,0.4013134837150574,0.6338732242584229,0.6826208233833313,0.28822243213653564,0.18643903732299805,0.3693167567253113,0.007139506284147501
0.42957401275634766,0.3077053725719452,0.518811821937561,0.3014030456542969,0.6746386885643005,0.6173046827316284,0.2702447175979614,0.150410458445549,0.4254014492034912,0.010541925206780434
0.42690712213516235,0.30963289737701416,0.5074817538261414,0.4542289674282074,0.6498273611068726,0.6580033302307129,0.27402475476264954,0.18032564222812653,0.3791380524635315,0.0068474020808935165
0.42425283789634705,0.3127855658531189,0.5866472125053406,0.34808385372161865,0.611383318901062,0.689970850944519,0.31304144859313965,0.1507798433303833,0.3820081055164337,0.0071390969678759575
0.43425101041793823,0.3288566470146179,0.4179309010505676,0.2387823611497879,0.6532944440841675,0.6436975002288818,0.23900863528251648,0.15735644102096558,0.3824062943458557,0.010449089109897614
0.4852261543273926,0.3985687792301178,0.35540249943733215,0.17788700759410858,0.4275679886341095,0.4688138961791992,0.2861504852771759,0.2943870723247528,0.34895971417427063,0.6724787950515747
0.42531004548072815,0.41994810104370117,0.2251712530851364,0.1287994235754013,0.34622493386268616,0.3881837725639343,0.2534264326095581,0.2335493117570877,0.2725035548210144,0.5178448557853699
0.5178561806678772,0.455227792263031,0.27996826171875,0.25367963314056396,0.5095992088317871,0.5334197282791138,0.2954568862915039,0.138060063123703,0.3836442828178406,0.05034596100449562
0.3530770242214203,0.3496430218219757,0.22012673318386078,0.17874985933303833,0.3695465922355652,0.40236973762512207,0.20992079377174377,0.21524247527122498,0.3881721496582031,0.061550039798021317
0.3861406743526459,0.4087456166744232,0.45683035254478455,0.3822912871837616,0.688325047492981,0.5444673895835876,0.3105045258998871,0.1615724116563797,0.2934720814228058,0.01167245116084814
0.4339091181755066,0.3109164834022522,0.45168161392211914,0.45909222960472107,0.6214417815208435,0.5745585560798645,0.23437663912773132,0.15914811193943024,0.35424375534057617,0.010807522572577
0.46788349747657776,0.27992814779281616,0.5154942870140076,0.30370935797691345,0.7000700831413269,0.6625835299491882,0.3118610084056854,0.14768007397651672,0.4433821141719818,0.0069303144700825214
0.46830591559410095,0.33861711621284485,0.5424653887748718,0.511199951171875,0.6380311250686646,0.6686794757843018,0.2898702025413513,0.17236338555812836,0.42560410499572754,0.008353281766176224
0.4852261543273926,0.3985687792301178,0.35540249943733215,0.17788700759410858,0.4275679886341095,0.4688138961791992,0.2861504852771759,0.2943870723247528,0.34895971417427063,0.6724787950515747
